קופה,תקופה,קוד,נכס,כמות
101,04/2000,85,"אג""ח מיועדות %5",198801.0
101,04/2000,86,"אג""ח סחירות ממשלתיות",5807333.0
101,04/2000,88,מניות גמול,2311.0
101,04/2000,102,"פק""מ וקצר מועד אחר",110000.0
101,04/2000,106,"יתרות מזומנים ועו""ש בשקלים חדשים",133268.0
101,04/2000,308,"לפחות AA אג""ח בדירוג",892683.0
101,04/2000,309,"אג""ח קונצרניות סחירות",139046.0
101,04/2000,310,"אג""ח להמרה סחירות",15729.0
101,04/2000,311,אופציה ישראלית,33980.0
101,04/2000,312,יצירת אופציה,-2.0
101,04/2000,313,Warrants אופציות מסוג,1787.0
101,04/2000,316,מניות סחירות,1719076.0
101,04/2000,93,"מניות נסחרות בחו""ל",44716.0
101,04/2000,95,הלוואות לעמיתים,25760.0
101,04/2000,96,הלוואות אחרות,136574.0
101,04/2000,97,פקדונות צמודים,552472.0
101,04/2000,98,תיקי משכנתאות,7906.0
101,04/2000,103,חייבים שונים נטו,6003.0
101,04/2000,107,"אג""ח קונצרניות לא סחירות",510659.0
101,04/2000,108,מניות לא סחירות,46151.0
101,04/2000,329,נכסים אחרים לא סחירים,7087.0
